a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c,et_h_d
17,15,9,0.0,0.0,2,2,2,1000
20,12,19,0.0,0.0,2,2,2,1000
18,4,4,0.0,0.0,1000,1,1000,1000
19,5,16,0.0,0.0,4,1,3,1000
2,13,4,0.0,0.0,1,3,1,1000
6,17,2,0.0,0.0,1,1,1,1000
7,18,12,0.0,0.0,1,1000,1,1000
5,2,14,0.0,0.0,1,6,1,1000
7,13,17,0.0,0.0,1,1000,1,1000
12,5,14,0.0,0.0,2,1,2,1000
12,3,17,0.0,0.0,2,1,2,1000
19,18,20,0.0,0.0,2,3,2,1000
6,18,8,0.0,0.0,1,8,1,1000
14,1,14,0.0,0.0,4,1,4,1000
6,4,3,0.0,0.0,3,1,2,1000
18,12,11,0.0,0.0,3,1,2,1000
14,4,19,0.0,0.0,2,1,2,1000
5,20,10,0.0,0.0,1,66,1,1000
15,17,4,0.0,0.0,2,1,2,1000
13,10,9,0.0,0.0,3,2,2,1000
2,14,20,0.0,0.0,1,2,1,1000
6,9,15,0.0,0.0,1,1000,1,1000
9,3,9,0.49899799599198397,11.959839357429718,3,1,2,1000
18,3,9,0.9398797595190381,29.051172707889126,1000,1,9,1000
9,7,9,0.0,0.0,2,3,2,1000
12,16,1,0.0,0.0,2,1,2,1000
14,7,1,0.0,0.0,5,1,4,1000
6,15,20,0.0,0.0,1,1000,1,1000
17,13,13,0.0,0.0,2,2,2,1000
11,15,18,0.0,0.0,1,8,1,1000
15,10,17,0.0,0.0,2,3,2,1000
19,15,10,0.0,0.0,3,1,2,1000
12,5,11,0.0,0.0,3,1,2,1000
5,2,10,0.0,0.0,1,3,1,1000
5,12,16,0.0,0.0,1,1000,1,1000
12,19,13,0.0,0.0,2,4,1,1000
11,11,1,0.0,0.0,2,1,2,1000
7,3,1,0.0,0.0,7,1,4,1000
3,9,2,0.0,0.0,1,2,1,1000
9,15,19,0.0,0.0,1,1000,1,1000
10,7,6,0.0,0.0,3,1,2,1000
18,4,7,0.0,0.0,1000,1,1000,1000
18,14,16,0.0,0.0,2,3,2,1000
8,3,16,0.0,0.0,1,1,1,1000
14,19,2,0.0,0.0,2,1,2,1000
5,16,14,0.0,0.0,1,1000,1,1000
20,4,15,0.0,0.0,6,1,4,1000
18,5,10,0.0,0.0,1000,1,5,1000
6,13,15,0.0,0.0,1,1000,1,1000
5,17,15,0.0,0.0,1,1000,1,1000
12,5,13,0.0,0.0,2,1,2,1000
11,1,5,0.20040080160320642,13.35,1000,1,1000,1000
5,7,16,0.0,0.0,1,1000,1,1000
4,14,10,0.0,0.0,1,1000,1,1000
16,2,12,0.0,0.0,7,1,5,1000
8,4,12,0.0,0.0,2,3,2,1000
5,5,16,0.0,0.0,1,1000,1,1000
4,12,20,0.0,0.0,1,35,1,1000
17,20,3,0.0,0.0,2,1,2,1000
19,11,18,0.0,0.0,2,2,2,1000
9,10,17,0.0,0.0,1,7,1,1000
9,20,7,0.0,0.0,1,3,1,1000
16,14,8,0.0,0.0,3,1,2,1000
15,12,6,0.0,0.0,3,1,2,1000
5,15,1,0.0,0.0,1,1,1,1000
12,12,14,0.0,0.0,2,3,1,1000
20,12,13,0.0,0.0,3,1,2,1000
3,13,16,0.0,0.0,1,4,1,1000
18,14,2,0.0,0.0,3,1,3,1000
16,2,14,0.008016032064128256,3.0,5,1,4,1000
11,1,12,0.16633266533066132,19.03614457831325,4,1,3,1000
17,13,5,0.0,0.0,3,1,2,1000
6,18,7,0.0,0.0,1,5,1,1000
17,8,7,0.0,0.0,6,1,3,1000
15,15,14,0.0,0.0,2,3,2,1000
5,11,11,0.0,0.0,1,1000,1,1000
19,11,14,0.0,0.0,3,1,2,1000
17,1,15,0.27054108216432865,26.31111111111111,6,1,5,1000
4,12,17,0.0,0.0,1,1000,1,1000
3,5,19,0.0,0.0,1,5,1,1000
9,5,11,0.0,0.0,2,3,2,1000
16,18,12,0.0,0.0,2,2,2,1000
15,9,20,0.0,0.0,2,3,2,1000
14,9,7,0.0,0.0,3,1,2,1000
2,1,18,0.0,0.0,1,1,1,5
11,15,12,0.0,0.0,2,4,1,1000
5,16,10,0.0,0.0,1,1000,1,1000
19,18,18,0.0,0.0,2,3,2,1000
19,1,2,0.501002004008016,23.46,1000,1,1000,1000
3,4,1,0.0,0.0,2,1,2,1000
12,2,20,0.0,0.0,2,1,2,1000
16,14,4,0.01002004008016032,3.8,3,1,2,1000
5,20,10,0.0,0.0,1,66,1,1000
19,13,20,0.0,0.0,2,3,2,1000
17,13,18,0.0,0.0,2,3,2,1000
17,8,10,0.0,0.0,5,1,3,1000
12,5,9,0.0,0.0,4,1,2,1000
10,10,14,0.0,0.0,2,4,1,1000
20,12,17,0.0,0.0,3,2,2,1000
15,20,8,0.0,0.0,2,2,2,1000
14,10,4,0.012024048096192385,3.5,3,1,3,1000
4,11,18,0.0,0.0,1,1000,1,1000
4,8,2,0.0,0.0,1,2,1,1000
4,12,12,0.0,0.0,1,1000,1,1000
4,2,18,0.0,0.0,1,3,1,1000
11,18,10,0.0,0.0,2,4,1,1000
15,17,15,0.0,0.0,2,3,1,1000
15,5,18,0.0,0.0,2,1,2,1000
2,10,19,0.0,0.0,1,2,1,1000
19,1,6,0.1683366733466934,17.88095238095238,1000,1,1000,1000
14,20,14,0.0,0.0,2,4,1,1000
10,13,9,0.0,0.0,2,3,1,1000
10,17,4,0.0,0.0,2,2,1,1000
12,9,10,0.0,0.0,2,2,2,1000
15,1,7,0.14428857715430862,17.291666666666668,1000,1,1000,1000
20,6,3,0.0,0.0,1000,1,26,1000
5,8,6,0.0,0.0,2,5,1,1000
3,9,15,0.0,0.0,1,35,1,1000
8,4,19,0.0,0.0,1,5,1,1000
10,19,19,0.0,0.0,1,1000,1,1000
12,18,5,0.0,0.0,2,2,2,1000
8,17,9,0.0,0.0,1,17,1,1000
15,14,10,0.0,0.0,2,2,2,1000
12,18,6,0.0,0.0,2,2,2,1000
5,20,10,0.0,0.0,1,66,1,1000
15,14,10,0.0,0.0,2,2,2,1000
5,5,19,0.0,0.0,1,11,1,1000
5,1,11,0.45691382765531063,13.723684210526315,1,1,1,1000
9,14,3,0.0,0.0,2,1,2,1000
8,15,7,0.0,0.0,1,4,1,1000
14,18,1,0.0,0.0,2,1,2,1000
15,9,14,0.0,0.0,2,2,2,1000
13,16,19,0.0,0.0,2,5,1,1000
8,2,13,0.0,0.0,2,1,2,1000
7,6,19,0.0,0.0,1,1000,1,1000
4,16,1,0.0,0.0,1,1,1,1000
6,14,13,0.0,0.0,1,1000,1,1000
14,2,9,0.0,0.0,35,1,6,1000
7,9,8,0.0,0.0,2,4,1,1000
8,14,5,0.0,0.0,2,2,1,1000
7,4,15,0.0,0.0,1,5,1,1000
13,8,18,0.0,0.0,2,3,2,1000
15,14,15,0.0,0.0,2,3,2,1000
19,8,19,0.0,0.0,3,1,2,1000
7,16,13,0.0,0.0,1,1000,1,1000
3,9,12,0.0,0.0,1,1000,1,1000
2,8,12,0.0,0.0,1,4,1,1000
9,16,14,0.0,0.0,1,1000,1,1000
15,8,17,0.0,0.0,2,3,2,1000
18,13,14,0.0,0.0,2,2,2,1000
16,17,18,0.0,0.0,2,3,1,1000
8,15,18,0.0,0.0,1,1000,1,1000
8,2,14,0.0,0.0,2,1,2,1000
6,13,8,0.0,0.0,1,75,1,1000
9,3,7,0.0,0.0,5,1,3,1000
17,8,4,0.0,0.0,6,1,4,1000
8,11,12,0.0,0.0,1,6,1,1000
6,12,16,0.0,0.0,1,1000,1,1000
13,8,4,0.0,0.0,4,1,3,1000
14,6,13,0.0,0.0,3,1,2,1000
8,17,13,0.0,0.0,1,1000,1,1000
5,14,7,0.0,0.0,1,14,1,1000
5,1,16,0.250501002004008,12.456,1,1,1,1000
16,2,5,0.0,0.0,1000,1,1000,1000
7,12,20,0.0,0.0,1,1000,1,1000
7,12,4,0.0,0.0,2,2,1,1000
6,2,4,0.05811623246492986,4.931034482758621,8,1,3,1000
15,15,4,0.0,0.0,2,1,2,1000
14,1,4,0.0,0.0,1000,1,1000,1000
5,7,8,0.0,0.0,1,8,1,1000
12,14,2,0.0,0.0,2,1,2,1000
11,4,8,0.0,0.0,5,1,3,1000
3,8,11,0.0,0.0,1,1000,1,1000
18,10,1,0.0,0.0,4,1,4,1000
15,2,14,0.0,0.0,4,1,4,1000
18,20,14,0.0,0.0,2,3,2,1000
15,14,13,0.0,0.0,2,3,2,1000
7,10,3,0.0,0.0,2,2,2,1000
3,7,5,0.0,0.0,1,1000,1,1000
12,20,13,0.0,0.0,2,4,1,1000
3,15,11,0.0,0.0,1,4,1,1000
20,6,3,0.0,0.0,1000,1,26,1000
14,9,10,0.0,0.0,3,2,2,1000
20,18,2,0.006012024048096192,3.0,3,1,3,1000
10,6,12,0.0,0.0,2,3,2,1000
6,19,15,0.0,0.0,1,1000,1,1000
17,13,4,0.006012024048096192,3.0,3,1,3,1000
20,2,5,0.0,0.0,1000,1,1000,1000
19,2,13,0.0,0.0,10,1,6,1000
8,19,13,0.0,0.0,1,1000,1,1000
10,6,4,0.036072144288577156,4.111111111111111,4,1,3,1000
11,15,1,0.0,0.0,2,1,2,1000
13,14,18,0.0,0.0,2,4,1,1000
20,17,14,0.0,0.0,2,2,2,1000
13,9,20,0.0,0.0,2,3,1,1000
19,8,19,0.0,0.0,3,1,2,1000
11,7,7,0.0,0.0,3,1,2,1000
19,19,16,0.0,0.0,2,3,2,1000
4,13,15,0.0,0.0,1,1000,1,1000
5,3,13,0.0,0.0,1,9,1,1000
14,2,1,0.0,0.0,1000,1,1000,1000
18,7,8,0.0,0.0,8,1,3,1000
8,9,6,0.0,0.0,2,2,2,1000
6,8,15,0.0,0.0,1,1000,1,1000
6,3,15,0.8016032064128257,24.6225,1,6,1,1000
11,11,12,0.0,0.0,2,3,1,1000
17,9,8,0.006012024048096192,3.0,4,1,3,1000
19,10,7,0.0,0.0,5,1,3,1000
8,16,10,0.0,0.0,1,8,1,1000
11,13,10,0.0,0.0,2,3,1,1000
5,20,4,0.0,0.0,1,2,1,1000
20,11,15,0.0,0.0,3,1,2,1000
5,14,12,0.0,0.0,1,1000,1,1000
2,17,5,0.0,0.0,1,2,1,1000
13,2,17,0.0,0.0,2,1,2,1000
2,3,15,0.0,0.0,1,4,1,1000
17,8,13,0.0,0.0,3,1,2,1000
3,14,18,0.0,0.0,1,3,1,1000
10,9,6,0.0,0.0,2,2,2,1000
5,5,20,0.250501002004008,8.168,1,8,1,1000
4,5,7,0.0,0.0,1,7,1,1000
18,4,8,0.0,0.0,1000,1,16,1000
9,15,6,0.0,0.0,2,2,1,1000
20,2,19,0.0,0.0,5,1,4,1000
20,16,10,0.0,0.0,3,1,2,1000
18,18,2,0.0,0.0,2,1,2,1000
3,9,18,0.501002004008016,7.232,1,6,1,1000
14,13,3,0.0,0.0,3,1,2,1000
8,10,19,0.0,0.0,1,68,1,1000
11,16,15,0.0,0.0,2,10,1,1000
15,17,7,0.0,0.0,2,2,2,1000
19,19,10,0.0,0.0,2,2,2,1000
14,12,20,0.0,0.0,2,3,1,1000
12,2,18,0.0,0.0,2,1,2,1000
16,6,9,0.0,0.0,13,1,3,1000
15,11,18,0.0,0.0,2,3,2,1000
8,1,18,0.0,0.0,1,1,1,1000
4,2,3,0.0,0.0,3,1,2,1000
18,15,10,0.0,0.0,3,2,2,1000
18,14,8,0.0,0.0,3,1,2,1000
2,1,15,0.27054108216432865,6.355555555555555,1,2,1,5
19,5,13,0.0,0.0,7,1,4,1000
12,9,4,0.0,0.0,3,1,2,1000
10,17,9,0.0,0.0,2,4,1,1000
16,13,12,0.0,0.0,2,2,2,1000
2,18,9,0.0,0.0,1,2,1,1000
6,2,14,0.0,0.0,1,1,1,1000
4,12,7,0.0,0.0,1,1000,1,1000
19,5,14,0.008016032064128256,3.25,6,1,3,1000
7,10,5,0.0,0.0,2,2,1,1000
13,4,19,0.0,0.0,2,1,2,1000
16,1,16,0.0,0.0,4,1,4,1000
11,5,19,0.0,0.0,2,3,1,1000
2,18,2,0.0,0.0,1,2,1,1000
20,12,8,0.006012024048096192,3.0,4,1,3,1000
5,17,10,0.0,0.0,1,1000,1,1000
13,10,19,0.0,0.0,2,3,1,1000
18,2,16,0.01002004008016032,3.2,5,1,4,1000
4,17,2,0.0,0.0,1,2,1,1000
9,4,19,0.0,0.0,1,4,1,1000
8,13,1,0.0,0.0,2,1,2,1000
13,3,10,0.008016032064128256,3.0,5,1,4,1000
11,20,13,0.0,0.0,1,6,1,1000
13,11,18,0.0,0.0,2,3,1,1000
20,8,3,0.0,0.0,28,1,5,1000
2,3,17,0.35671342685370744,10.179775280898877,1,3,1,1000
8,20,3,0.0,0.0,1,2,1,1000
9,3,13,0.0,0.0,2,1,2,1000
16,9,5,0.0,0.0,4,1,3,1000
13,17,9,0.0,0.0,2,2,2,1000
10,6,7,0.0,0.0,3,1,2,1000
20,19,7,0.0,0.0,2,1,2,1000
10,12,6,0.0,0.0,2,2,2,1000
20,20,2,0.0,0.0,2,1,2,1000
19,12,10,0.0,0.0,3,1,2,1000
9,15,12,0.0,0.0,1,7,1,1000
14,5,1,0.0,0.0,28,1,6,1000
7,5,4,0.014028056112224449,4.285714285714286,3,1,2,1000
19,2,17,0.008016032064128256,3.0,5,1,4,1000
8,9,13,0.0,0.0,2,5,1,1000
18,12,8,0.0,0.0,3,1,2,1000
6,15,9,0.0,0.0,1,1000,1,1000
20,5,19,0.0,0.0,4,1,2,1000
20,13,20,0.0,0.0,2,3,2,1000
6,19,3,0.0,0.0,1,2,1,1000
17,9,10,0.0,0.0,4,1,2,1000
12,1,19,0.31462925851703405,39.94267515923567,2,1,2,1000
11,15,11,0.0,0.0,2,3,1,1000
19,3,9,0.0,0.0,1000,1,12,1000
6,7,5,0.0,0.0,2,3,2,1000
6,20,13,0.0,0.0,1,1000,1,1000
4,6,3,0.0,0.0,2,3,1,1000
10,17,8,0.0,0.0,2,3,1,1000
19,8,12,0.0,0.0,6,1,3,1000
8,17,5,0.0,0.0,1,2,1,1000
10,8,17,0.0,0.0,2,5,1,1000
7,10,18,0.0,0.0,1,1000,1,1000
6,8,12,0.0,0.0,1,28,1,1000
18,13,7,0.0,0.0,3,1,2,1000
6,2,17,0.0,0.0,1,1,1,1000
16,18,16,0.0,0.0,2,3,1,1000
14,7,3,0.0,0.0,5,1,3,1000
18,7,5,0.0,0.0,45,1,4,1000
2,17,5,0.0,0.0,1,2,1,1000
5,15,12,0.0,0.0,1,1000,1,1000
19,19,2,0.0,0.0,2,1,2,1000
7,12,12,0.0,0.0,1,1000,1,1000
19,2,7,0.0,0.0,1000,1,1000,1000
12,14,2,0.0,0.0,2,1,2,1000
20,14,7,0.0,0.0,3,1,2,1000
6,15,10,0.0,0.0,1,1000,1,1000
20,3,1,0.0,0.0,1000,1,1000,1000
17,4,5,0.0,0.0,1000,1,1000,1000
18,12,11,0.0,0.0,3,1,2,1000
16,20,13,0.0,0.0,2,3,1,1000
4,14,20,0.0,0.0,1,29,1,1000
19,20,20,0.0,0.0,2,3,1,1000
11,7,20,0.0,0.0,2,4,1,1000
15,10,6,0.0,0.0,3,1,2,1000
11,11,11,1.0,19.945891783567134,2,3,2,1000
5,8,4,0.0,0.0,2,3,1,1000
15,7,12,0.0,0.0,3,1,2,1000
2,7,13,0.0,0.0,1,4,1,1000
7,6,13,0.0,0.0,1,7,1,1000
10,16,12,0.0,0.0,2,5,1,1000
18,19,6,0.0,0.0,2,1,2,1000
3,1,6,0.0,0.0,1,1,1,1000
3,1,7,0.8577154308617234,11.186915887850468,1,1,1,46
14,12,14,0.0,0.0,2,3,2,1000
20,14,1,0.0,0.0,3,1,3,1000
20,16,18,0.0,0.0,2,3,2,1000
18,6,20,0.0,0.0,2,1,2,1000
15,1,20,0.0,0.0,2,1,2,1000
14,2,17,0.0,0.0,2,1,2,1000
11,6,18,0.0,0.0,2,3,1,1000
2,10,7,0.0,0.0,1,4,1,1000
4,11,5,0.01002004008016032,4.0,1,12,1,1000
18,1,6,0.0,0.0,1000,1,1000,1000
19,1,18,0.056112224448897796,16.464285714285715,5,1,5,1000
11,4,3,0.0,0.0,1000,1,5,1000
16,17,8,0.0,0.0,2,2,2,1000
5,8,5,0.0,0.0,2,4,1,1000
4,17,14,0.0,0.0,1,9,1,1000
11,16,3,0.0,0.0,2,1,2,1000
10,5,2,0.0,0.0,5,1,4,1000
9,1,19,0.4749498997995992,37.822784810126585,1,1,1,1000
3,10,2,0.0,0.0,1,2,1,1000
16,19,2,0.0,0.0,2,1,2,1000
16,2,14,0.008016032064128256,3.0,5,1,4,1000
10,11,3,0.0,0.0,2,1,2,1000
20,17,20,0.0,0.0,2,3,2,1000
5,14,10,0.0,0.0,1,1000,1,1000
13,16,6,0.0,0.0,2,2,2,1000
11,8,7,0.0,0.0,3,2,2,1000
4,1,11,0.45691382765531063,11.640350877192983,1,1,1,1000
19,9,4,0.0,0.0,6,1,4,1000
7,19,6,0.0,0.0,1,4,1,1000
13,18,1,0.0,0.0,2,1,2,1000
17,17,10,0.0,0.0,2,2,2,1000
9,13,4,0.0,0.0,2,2,2,1000
20,10,13,0.0,0.0,4,1,2,1000
12,17,17,0.0,0.0,1,7,1,1000
17,2,7,0.0,0.0,1000,1,1000,1000
14,6,14,0.0,0.0,3,1,2,1000
18,4,20,0.0,0.0,3,1,2,1000
10,8,20,0.0,0.0,1,13,1,1000
3,10,7,0.0,0.0,1,1000,1,1000
16,4,6,0.0,0.0,1000,1,26,1000
4,15,18,0.0,0.0,1,43,1,1000
12,5,5,0.0,0.0,8,1,3,1000
17,13,16,0.0,0.0,2,3,2,1000
10,16,15,0.0,0.0,1,1000,1,1000
15,11,20,0.0,0.0,2,3,1,1000
11,17,14,0.0,0.0,1,6,1,1000
6,7,11,0.0,0.0,1,7,1,1000
16,19,6,0.0,0.0,2,1,2,1000
8,13,15,0.0,0.0,1,1000,1,1000
8,15,20,0.0,0.0,1,1000,1,1000
7,8,8,0.0,0.0,2,3,1,1000
17,16,9,0.0,0.0,2,2,2,1000
8,12,15,0.0,0.0,1,1000,1,1000
7,15,14,0.0,0.0,1,1000,1,1000
13,18,5,0.0,0.0,2,1,2,1000
14,6,20,0.0,0.0,2,2,2,1000
19,15,5,0.0,0.0,3,1,2,1000
14,19,17,0.0,0.0,2,4,1,1000
9,14,13,0.0,0.0,1,49,1,1000
18,4,19,0.0,0.0,3,1,2,1000
8,15,10,0.0,0.0,1,7,1,1000
6,15,12,0.0,0.0,1,1000,1,1000
12,4,10,0.0,0.0,4,1,2,1000
7,16,2,0.0,0.0,1,1,1,1000
7,1,7,0.0,0.0,4,1,3,1000
4,12,18,0.0,0.0,1,1000,1,1000
13,13,2,0.0,0.0,2,1,2,1000
15,15,2,0.0,0.0,2,1,2,1000
18,1,3,0.0,0.0,1000,1,1000,1000
7,4,10,0.0,0.0,2,3,2,1000
2,13,10,0.0,0.0,1,2,1,1000
20,6,11,0.0,0.0,1000,1,4,1000
2,13,10,0.0,0.0,1,2,1,1000
15,6,7,0.0,0.0,7,1,3,1000
20,12,5,0.0,0.0,4,1,3,1000
3,16,14,0.0,0.0,1,3,1,1000
3,4,12,0.0,0.0,1,10,1,1000
7,9,6,0.0,0.0,2,3,1,1000
2,6,1,0.0,0.0,1,2,1,1000
8,10,5,0.0,0.0,2,2,2,1000
12,14,8,0.0,0.0,2,2,2,1000
4,17,6,0.0,0.0,1,5,1,1000
7,10,3,0.0,0.0,2,2,2,1000
19,16,18,0.0,0.0,2,3,2,1000
9,4,18,0.0,0.0,1,4,1,1000
6,11,13,0.0,0.0,1,1000,1,1000
6,15,4,0.0,0.0,1,2,1,1000
12,1,20,0.0,0.0,2,1,2,1000
20,13,20,0.0,0.0,2,3,2,1000
7,13,4,0.0,0.0,2,2,1,1000
7,20,5,0.0,0.0,1,2,1,1000
13,12,12,0.0,0.0,2,3,2,1000
15,20,10,0.0,0.0,2,2,2,1000
9,13,20,0.0,0.0,1,1000,1,1000
5,8,11,0.0,0.0,1,1000,1,1000
19,18,8,0.0,0.0,2,1,2,1000
17,19,18,0.0,0.0,2,3,1,1000
7,1,16,0.12625250501002003,10.73015873015873,1,1,1,1000
2,6,5,0.0,0.0,1,1000,1,1000
8,4,10,0.0,0.0,2,3,2,1000
4,1,15,0.13627254509018036,7.75,1,1,1,1000
2,1,9,0.6673346693386774,7.960960960960961,1,3,1,5
13,20,10,0.0,0.0,2,3,1,1000
11,20,18,0.0,0.0,1,1000,1,1000
11,5,11,0.0,0.0,3,1,2,1000
6,19,1,0.0,0.0,1,1,1,1000
15,8,4,0.0,0.0,5,1,3,1000
3,2,3,0.0,0.0,2,3,2,1000
10,5,20,0.0,0.0,1,4,1,1000
17,9,4,0.0,0.0,5,1,3,1000
4,14,9,0.0,0.0,1,1000,1,1000
11,18,11,0.0,0.0,2,4,1,1000
17,13,19,0.0,0.0,2,3,2,1000
4,2,7,0.0,0.0,2,3,1,1000
14,11,4,0.0,0.0,3,1,2,1000
13,11,6,0.0,0.0,3,1,2,1000
4,2,14,0.04208416833667335,4.523809523809524,1,4,1,1000
20,18,4,0.01002004008016032,3.8,3,1,2,1000
19,8,4,0.0,0.0,31,1,4,1000
